App Name,Skill(s),Product(s),Description,Resource Type ,Resource Links,Website URL (if applicable):,Resources,Audit Date
Almanack AI,"AI (Artificial intelligence), Planning",,"An AI platform that is user friendly and generates educational materials including:
- Curriculum-aligned lesson plans
- Group activities
- Choice boards
- Critical thinking questions
- Real world applications
- Graphic organizers
And so much more
It integrates with many different platforms, including:
- Google Slides
- Google Docs
- Kahoot
- Quizlet
- Blooket
And many more
Log in with your school Google account",App - Web-based,,Loading...,,
Amplify Classroom,,,,,,,,
Animate a Character,"Communication, Creativity/Design, AI (Artificial intelligence)",Visual,"Your students can make an animated character with a custom background to tell a story, read a poem, demonstrate their learning, practice speaking in another language, and much more",App - Classlink,,Loading...,,
BBC Learning Hub,Planning,,"A library of high quality K-12 resources such as . . .  
- Videos
- Collections
- Lesson plans
- Blog posts . . . and more
Go to the Search page to filter resources by grade level, type, subject, and topic. Register using your personal Google account to access all resources. ",,"Video: Teacher Picks: BBC Learning Hub
BBC Learning Hubs Free Video and Lesson Library",Loading...,Loading...,
Bell Ringer Bonanza,Planning,,"7 amazing sources of content to spark curiosity, discussion, or a short written response to hook your students after the bell.
1. CNN 10 - A daily 10-min video digest of current news.  Access the YouTube video and ask ChatGPT create questions for you.
2. NY Times Learning Network - News articles, quizzes, writing prompts, vocab, photos, and graphs to analyze!
3. Newsela - Share articles at different Lexile levels.  Latest news, science, primary sources.
4. TED-Ed - A fascinating, diverse library of vids and articles on everything with built-in ?s.
5. Smithsonian Magazine (fka Tween Tribune) - Articles on current events, history, science, arts & culture, travel, and podcasts!
6. HowStuffWorks - An eclectic, whimsical amalgamation of articles and embedded videos that has something for everyone.
7. BBC Newsround - A student-friendly news site with videos and articles from across the pond.",Website,"CNN 10
NY Times Learning Network
Newsela
TED-Ed
Smithsonian Magazine
HowStuffWorks
BBC Newsround",,Loading...,
Blooket,Recall (Interactive games),Visual,A game-based learning platform that boosts recall through various high-energy game modes. It builds student engagement and provides teachers with useful data analysis on class performance.,App - Web-based,Blooket YouTube Channel,Loading...,Loading...,
Book Creator,"Communication, Creativity/Design, Planning, Writing (WICOR)",Visual,"A simple but powerful tool for creativity/design and writing digital books. Students can combining text, images, audio, and video into a finished book that tells a story about their learning.",App - Web-based,,Loading...,,
Bounce Cards,,,,,,,,
Brisk Teaching AI,,,,,,,,
Building Relationships,,,,,,,,
Canva,"AI (Artificial intelligence), Communication, Creativity/Design, Collaboration (WICOR)","Visual, Writing","The BEST creativity/design app available.  It provides templates for everything from posters to presentations.  Built-in AI image generation, video creation, and much more. Students can collaboration on designs",App - Web-based,Canva Teacher Essentials,Loading...,[Canva Teacher Essentials](https://www.canva.com/design-school/courses/teacher-essentials),
Canva Polls and Quizzes,"Communication, AI (Artificial intelligence), Data Analysis, SEL (Social emotional learning)",,Add poll and quiz questions to your Canva slides to skyrocket engagement and interactivity!  Pick a ready-made template or use built-in AI to make a question for you. Do a quick SEL check-in or check for understanding as you present content. Students can add a poll/quiz to their next presentation to engage their audience. Easily view/download responses in real-time! ,App - Web-based,"Video: Polls and Quizzes in Canva
Reimagine learning with Canva’s new interactive features
Add Forms and Quizzes to Slides
Save time with the AI-powered Quiz Generator",Loading...,"[Video: Polls and Quizzes in Canva
](https://www.youtube.com/watch?v=SduY8ES7p0Q)
[Reimagine learning with Canva’s new interactive features
](https://www.canva.com/newsroom/news/interactive-learning-launch/)
[Add Forms and Quizzes to Slides
](https://www.canva.com/help/polls-quizzes/)
[Save time with the AI-powered Quiz Generator](https://www.canva.com/newsroom/news/interactive-learning-launch/#:~:text=Save%20time%20with%20the%20AI%2Dpowered%20Quiz%20Generator)",
Canva Whiteboard,"Collaboration (WICOR), Communication, Organization (WICOR), Planning",Visual,An infinite canvas that combines Canva’s design assets with real-time collaboration. It is perfect for group planning and mapping out creative ideas visually.,App - Web-based,Video: Design Whiteboard Activities,Loading...,Loading...,
Choice Boards,Planning,N/A,"Students thrive and engagement soars when they are given a choice of what product to create to demonstrate their learning.  But what choices should you offer, what tools are available, and what rubric should you use?

Check out this “Make a Choice Board” document that will walk you through the process AND provide examples of choice boards that you can copy and modify. It even has rubrics!  More choice board options.

Tips for Choice Board Success
- Start small - too many choices can be overwhelming for students.  Start with 3.
- Set time limits - use a timer to keep students progressing through the process such as picking a partner (1 min), picking a topic/product (2 min), finishing a rough draft (30 min), self-grade/reflect (10 min)
- Constant feedback - Regularly circulate the room to check that students’ products align with the rubric requirements.  Comment on their work frequently.",Strategy,"Choice Boards: Benefits, Design Tips, and Differentiation
Using Choice Boards for Students to Differentiate Instruction
Make a Choice Board planning template",,"[Choice Boards: Benefits, Design Tips, and Differentiation](https://catlintucker.com/2021/08/choice-boards101/)
[
](https://docs.google.com/document/d/175tCfDFIeYbaVpK9_9bn6_D0qikCoDSfFD8ze5tKVWI/edit?usp=sharing)
[Using Choice Boards for Students to Differentiate Instruction
](https://www.hmhco.com/blog/choice-boards-for-students?srsltid=AfmBOopzVGtQINyEFX9v25gKzWCiOf5AObHrf13sKKWL2khBmY_ReRJc)
[Make a Choice Board planning template](https://docs.google.com/document/d/175tCfDFIeYbaVpK9_9bn6_D0qikCoDSfFD8ze5tKVWI/edit?usp=sharing)",
Class Discussion Techniques,"Communication, Critical Thinking, Writing (WICOR)",Writing,"Students who interact, share, and learn from each other build a community of learners in the classroom that develops their self-efficacy and communication skills.  Try these techniques to slowly get them there - 
- Quiz, Quiz, Trade - Give each student a question.  Stand up, hands up -- students pair up with someone with a hand up.  Partners quiz each other, switch ?s, repeat the process with hands up to pair up again.
- Opinion Poll - Give each student a poll question and have them ask the ? to as many students as possible in 7 min.  Then, ask students to briefly summarize their results.
- Brainwriting - Students write down their ideas about a ? or topic for 2-3 min. Each student passes their paper to another student to read and add new ideas.  Repeat this until they get their original paper back.  
Learn about more techniques by clicking on the resource.",Strategy,Class Discussion Techniques Explained ,Loading...,[Class Discussion Techniques Explained ](https://drive.google.com/file/d/1g3cDb9O7v15rZJAlLjVwAu5OOplfrYVB/view?usp=sharing),
Claude AI,,,,,,,,
Comprehension Clash,"Writing (WICOR), Communication, Critical Thinking, Recall (Interactive games)","Writing, Performance","At the end of the unit, students respond to a question - “What is the unit’s most important piece of information?” - first through solo writing and then through mini-debates.  Great way to review and promote communication and critical thinking.
Watch this video and read this article to learn more.  Download the guide too!""",Strategy,"Video: Cultivate Deeper Understanding with a Comprehension Clash
Cultivating Deeper Understanding with a Comprehension Clash blog post
Comprehension Clash Workshop Guide (pdf)",,"[Video: Cultivate Deeper Understanding with a Comprehension Clash
](https://youtu.be/72wSj3GKXHk)
[Cultivating Deeper Understanding with a Comprehension Clash blog post
](https://www.edutopia.org/video/cultivating-deeper-understanding-with-a-comprehension-clash)
[Comprehension Clash Workshop Guide (pdf)](https://wpvip.edutopia.org/wp-content/uploads/2024/08/Edutopia-Beachboard-Comprehension-Clash-Guide.pdf)",
Concept Maps,"Organization (WICOR), Critical Thinking, Data Analysis",Visual,"Students can use concept maps (WICOR) to organize info into a visual to make stronger mental connections between concepts than traditional notes. 
Follow these steps to utilize this strategy --
1. Choose an appropriate format - Is your topic hierarchical?  A process?  Problem solving? Decision making? Compare/ contrast?  Read about different maps HERE. Copy and edit the map you want from the Google Drawing repository, AVID site, or Canva templates (see Resources).  You may also make your own using SmartDraw, Lucidchart, or Google Drawings
2. Create an “Answer key” - Organize the content info into your map to check that the spacing/# of boxes, etc.. is appropriate.      
3. Model how to use the map - Show students how to add info initially and then gradually release!  Or, start with interpreting/analyzing a completed map.
4. Reflect - Ask students - How did creating the map help you understand the concept?  Were there any surprises/challenges?
LEVEL UP - Put students in groups to create concepts maps on the vertical whiteboards!",Strategy,"Concept Maps: A powerful meaning-making tool
Google Drawing repository
Graphic Organizers - AVID Open Access
Graphic Organizer Templates - Canva
SmartDraw
LucidChart (How-to Video)",,"[Concept Maps: A powerful meaning-making tool
](https://catlintucker.com/2024/10/concept-maps/#:~:text=By%20allowing%20students%20to%20visually,long%2Dterm%20retention%20of%20knowledge.)
[Google Drawing repository](https://drive.google.com/drive/folders/0B6VKCQFTLg9dNXExcFd6Y1IyNFk?resourcekey=0-Z8N9qR013YJis19wSeU03g&usp=sharing)

[Graphic Organizers - AVID Open Access
](https://avidopenaccess.org/resource/graphic-organizers/)
[Graphic Organizer Templates - Canva
](https://www.canva.com/graphs/templates/concept-maps/)
[SmartDraw
](https://www.smartdraw.com/mind-map/concept-map-maker.htm?id=381950&gad_source=1&gad_campaignid=21287716274&gbraid=0AAAAAD_wclZRlpu63Lb37JO9kyXOKY2c1&gclid=EAIaIQobChMIko7L2vOikQMVAWVHAR1PajTKEAAYAiAAEgLCW_D_BwE)
[LucidChart](https://www.lucidchart.com/pages/landing/concept-map-software?utm_source=google&utm_medium=cpc&utm_campaign=_chart_en_us_mixed_search_brand_phrase_&km_CPC_CampaignId=1458000413&km_CPC_AdGroupID=57044755832&km_CPC_Keyword=%2Blucid%20chart%20%2Bconcept%20%2Bmap&km_CPC_MatchType=b&km_CPC_ExtensionID=&km_CPC_Network=g&km_CPC_AdPosition=&km_CPC_Creative=476085191277&km_CPC_TargetID=kwd-1153343370944&km_CPC_Country=9215314&km_CPC_Device=c&km_CPC_placement=&km_CPC_target=&gad_source=1&gad_campaignid=1458000413&gbraid=0AAAAADLdSjDVUwPdmiFGjhQxR-msuogNr&gclid=EAIaIQobChMI4fSw2PSikQMVG2pHAR1A-DJFEAAYASAAEgIPc_D_BwE)
 ([How-to Video](https://www.youtube.com/watch?v=7QcYZ2ggvyA)
)",
"Databases (Division-sponsored) - Gale, ProQuest, World Book Online, Britannica, Destiny, Encyclopedia","Digital Literacy, Research",,Division resources that provide reliable information about almost any topic.  A great way to verify information from other sources such as AI.,App - Classlink,,Loading...,,
Diffit,"AI (Artificial intelligence), Planning",,"An AI-powered educational tool designed to quickly differentiate instructional materials for students with varying reading levels and learning styles.
Key Features
- Generates versions for different reading levels
- Translates materials easily into different languages
- Transforms materials into different types of worksheets
- Works across various subjects such as  science, history, and literature
Can be used with books, articles, YouTube videos, text or PDFs, vocabulary lists or create its own text base on the your topic.  Check out these resources",App - Web-based,"Diffit for Teachers YouTube Channel
Video: What is Diffit?
Diffit Resources",Loading...,Loading...,
Eduaide AI,,,,,,,,
EduGem AI,"AI (Artificial intelligence), Planning, Creativity/Design, Critical Thinking","Visual, Writing","A HUGE collection of pre-made gems (Custom AI chatbots in Google Gemini) for everything from lesson planning, to games, student support and differentiation and more!  You can access the gems to use and/or copy and edit them to better suit your needs.",Website,,Loading...,,
Fan-N-Pick,"Collaboration (WICOR), Communication, Critical Thinking","Visual, Auditory","Fan-N-Pick is a Kagan cooperative learning strategy that can be used in any subject. Students work in groups of four to review content using question cards.  Use it to practice collaboration skills (WICOR). Follow these steps-

1. Create Question Cards - based on the content you are teaching.  Questions should be open-ended to promote thinking and discussion.  Ask AI to help you create them! 
2. Group and # Students - 4 per group.
3. Student 1 - holds the question cards in a fan and says, “Pick a card, any card!”
4. Student 2 - picks a card, reads the question aloud and allows 5 seconds of “think time”.
5. Student 3 - answers the question.
6. Student 4 - paraphrases and praises or coaches to the corret answer.
7. Students rotate the roles and repeat the process for each new round.  This activity ensures equal participation, builds communication skills, and reinforces learning through questioning and peer support.",Strategy,"Fan--N-Pick Kagan Structure
Video: Fan-N-Pick Explained
Video: Discourse Strategies for Inquiry Science
Video: Cooperative Learning Demo
Fan-N-Pick Role Mat",,"[Fan--N-Pick Kagan Structure](https://drive.google.com/file/d/1ss4G5I9UCpzoHI65-iFqzmetaDkQlrh1/view?usp=sharing)

[Video: Fan-N-Pick Explained](https://youtu.be/DNGLINpDDNo?si=MkejPboKyQfMHsqH)

[Video: Discourse Strategies for Inquiry Science](https://youtu.be/hkoKSYpPCQE?si=g1lFkcDm2qlIBZwM)

[Video: Cooperative Learning Demo](https://youtu.be/SMt32FvkYAc?si=zCG1r0JqsYN2bp-y)

[Fan-N-Pick Role Mat](https://drive.google.com/file/d/1DSnTYhYN9vbUpKeC4lwXvu3J8Vqh_zYO/view?usp=sharing)",
Figjam,"Collaboration (WICOR), Communication, Organization (WICOR), Planning",Visual,"An online whiteboard tool that emphasizes collaboration and design thinking. It includes features for voting and sticky notes, helping teams with organization and collective decision-making.",App - Web-based,,Loading...,,
Figjam,,,,,,,,
Flippity,,,,,,,,
Formative,,,,,,,,
Four Corners Discussion,,,,,,,,
Gemini AI Nano Banana,"AI (Artificial intelligence), Critical Thinking, Creativity/Design",Visual,"Students can create infographics, book covers/illustrations, timelines, graphic organizers, images for slides, comic strip scenes, diagrams, movie posters, etc.. 
Limits: 3 Pro images/day and 100 Fast images/day.",App - Web-based,"Video: The Nano Banana Method for Perfect AI Images
The Ultimate Guide to AI Infographics
Complete Guide to Nano Banana Pro",Loading...,"[Video: The Nano Banana Method for Perfect AI Images
](https://www.youtube.com/watch?v=J0mTmAkn00g)
[The Ultimate Guide to AI Infographics
](https://www.controlaltachieve.com/2025/11/infographics.html)
[Complete Guide to Nano Banana Pro](https://x.com/GoogleAIStudio/status/1994480371061469306?s=20)",
Gemini Gems,"AI (Artificial intelligence), Critical Thinking, Research, Digital Literacy","Visual, Writing","Create a custom chatbot that you can use over and over again! Make a gem to give feedback on student work using a rubric, create science experiments, generate a BTC-style lesson, or add WICOR to an assignment.  Google also has premade gems such as “Storybook”, “Career Guide”, and “Brainstormer”. You can share your Gems with other teachers (not students) too!",App - Web-based,"Building Custom AI Experts with Gems
Video: Creating and Sharing Gems",[Gemini Gems](https://gemini.google.com/gems/view),Loading...,
Gimkit (School-Sponsored),Recall (Interactive games),,"A gamified learning platform that uses competition to improve recall and engagement. Students use planning and strategy to manage in-game currency while reinforcing classroom content. With built-in Google Translate, students can translate directly in a live game. To enable it, click “Me” (top-right), select “Settings,” go to “Game Settings,” and toggle on “Allow Google Translate.”",App - Web-based,Video: Gimkit Tutorial for Teachers,Loading...,[Video: Gimkit Tutorial for Teachers](https://youtu.be/8tjqibXEsDM?si=KUmLbIsJKPxcjbSF),
Gimkit KitCollab,,,,,,,,
Gizmos,"Critical Thinking, Data Analysis, Problem-Solving",Visual,"An extensive library of interactive STEM simulations that foster critical thinking and data analysis through inquiry-based virtual labs. It encourages students to manipulate variables and test hypotheses, building a deeper understanding of complex math and science concepts through digital exploration.",App - Classlink,,Loading...,Loading...,
Gizmos,"Inquiry (WICOR), Critical Thinking",,"Engaging, interactive simulations on a variety of topics - mostly math and science.  Log into Gizmos by searching “Explore Learning” in Classlink.  You can search and/or filter the simulations by topic and/or standard.  
Check out these cool simulations - 
- Muscles and Bones - Health and PE -How do muscles, bones, etc... work?
- Rock Art - Geometry - Study transformations through ancient symbols.
- Phases of Water - Biology -  Heat/Cool water and observe phase changes
- Carbon Cycle - Environmental Science - Follow carbon through the atmosphere.  Do humans affect it?
- Point-Slope Form of a Line - Algebra - Vary coefficients to change the graph.
- Disease Spread - Biology - observe the spread through a population.",App - Classlink,Video: Exploring Gizmos Labs and Simulations,[Gizmos](https://gizmos.explorelearning.com/),Loading...,
Goblin.Tools,"Planning, Organization (WICOR)",Visual,"A unique set of AI tools designed to help with organization and planning, especially for neurodivergent learners. Its ""Magic To-Do"" list breaks down complex tasks into manageable steps to aid execution.",App - Web-based,,Loading...,Loading...,
Google Arts & Culture,Research,,A platform for research that provides access to global artworks and artifacts. It sparks creativity and cultural awareness by allowing virtual exploration of world history.,Website,,Loading...,Loading...,
Google Arts and Culture,"Data Analysis, Research",,"Explore an incredibly diverse set of resources -- 
heritage sites, around the world, Da Vinci’s inventions, cities of the future, Japanese design, Nigerian food, virtual museum tours, invention origins, The Great Barrier Reef, St Mark’s Basilica, Apple computers, . . . and much more!

They even have games such as visual crosswords, art coloring books ... and more.",Website,"Video: Teaching with Google Arts and Culture Website
Learn with Google Arts and Culture Tutorial
Google Arts and Culture Teacher Guide",Loading...,Loading...,
Google Docs,"Collaboration (WICOR), Communication, Creativity/Design, Writing (WICOR)",Writing,"The gold standard for writing and student collaboration on one document. It streamlines the feedback process, fostering better communication between teachers and students.",App - Classlink,,[Google Docs](https://docs.google.com/),Loading...,
Google Drawings,"Collaboration (WICOR), Creativity/Design",Visual,"A simple canvas for creativity/design. Make simple graphics, diagrams, and memes.  Students can collaborate on their designs.  Anything more complex ... use Canva or Adobe Express.",App - Classlink,,Loading...,Loading...,
Google Gemini AI,"AI (Artificial intelligence), Critical Thinking, Digital Literacy, Research, Planning","Visual, Writing","A generative AI assistant that supports research, writing, and critical thinking. Students can use it to brainstorm ideas, summarize long texts, and explore complex topics through dialogue.  Also, you can provide instructions for a  Gemini Gem custom chatbot to be used over and over on reptitive tasks or requests.  ",App - Classlink,"Gemini AI Tools for Educators
Video: Gemini Tools for Educators
Video: Creating and Sharing Gems
Video: How to Use Gemini Gems
Sample Prompts
Gemini Gem Mini-PL presentation",Loading...,Loading...,
Google Illuminate,"Digital Literacy, Communication",,"An experimental AI tool that transforms complex research papers into conversational audio ""podcasts."" It supports research and digital literacy by making dense academic content more accessible.",App - Web-based,,Loading...,,
Google Illuminate,"AI (Artificial intelligence), Communication, Creativity/Design",Auditory,"An AI-powered Google feature designed to support teachers by turning complex content into clear, engaging podcast style learning resources. It can summarize key ideas, highlight important concepts, and help generate explanations or examples that are more accessible for students. Google Illuminate offers a practical way to save time, differentiate instruction, and support student understanding.",App - Web-based,"Google Illuminate
Video: How-to use Google Illuminate",[Google Illuminate](https://illuminate.google.com/),Loading...,
Google Sheets,"Data Analysis, Communication, Critical Thinking, Organization (WICOR), Planning",Visual,"An essential tool for data analysis and organization, helping students manage large sets of information. It encourages critical thinking as students use formulas and charts to interpret their research findings.  Or, they can use it to track anything - habits, budgeting, personal goals, etc..",App - Classlink,,Loading...,,
Google Slides,"Collaboration (WICOR), Communication, Creativity/Design","Visual, Writing",A collaborative presentation tool that develops communication and organization skills. It enables real-time collaboration for teams to design slides that support oral reports or visual research.,App - Classlink,,Loading...,,
Google Trends,"Data Analysis, Critical Thinking, Research",Visual,A powerful research and data analysis tool that visualizes search behavior over time. It helps students develop critical thinking by identifying patterns and analyzing global or local interests.,Website,,[Google Trends](https://trends.google.com/trends/),,
Google Vids,"Collaboration (WICOR), Communication, Creativity/Design, AI (Artificial intelligence)",Visual,An AI-powered video creation app that assists in planning and design by generating initial scripts and storyboards. It leverages digital literacy to help students produce polished video content rapidly.,App - Web-based,,Loading...,,
Hexagonal Thinking,"Collaboration (WICOR), Organization (WICOR), Critical Thinking, Communication",Visual,"
This interactive activity encourages students to make meaningful connections through rich discussions with their peers. Using hexagon-shaped paper pieces labeled with key ideas, concepts, or terms, students collaborate to arrange them in a way that highlights their relationships. As they work, they must explain and justify their connections, deepening their understanding and sparking thoughtful conversations.  ",Strategy,"Video: Using Hexagons to Build Critical Thinking Skills
Hexagonal Thinking: Creating Connections in the Classroom",,Loading...,
Ideogram AI,"AI (Artificial intelligence), Creativity/Design",Visual,"Do you want to create AI graphics? Ideogram AI is a powerful text-to-image generator tool that turns your ideas into visuals in seconds.  Just type in a short prompt and watch it create professional-looking designs, posters, and logos. Watch the video to learn about the free features in Ideogram AI. You get 10 free credits per week to create your own designs. Go to Ideogram AI and create an account by selecting “Continue with Microsoft.”   ",App - Web-based,Video: How to Use Ideogram AI,Loading...,Loading...,
Inside-Outside Circle,,,,,,,,
Jigsaw,"Collaboration (WICOR), Communication, Critical Thinking",Performance,"A cooperative learning technique that creates student-centered learning.
1. Create diverse groups of 5-6 students 
2. One person per group is appointed as leader
3. Divide the lesson into 5-6 segments
4. Assign each student in the group one segment to learn
5. Give student time to read their segment 2 or 3 times
6. Form expert groups by having one student from the original jigsaw group  join others with the same topic - they should discuss the main points of their segment and rehearse presentations for the main group
7. Initial group comes back together and each student presents their portion to the group
8. Teacher as a facilitator, goes from group to group to observe the process
9. Give a quiz on the material, this helps the students to take responsibility",Strategy,Video: The Jigsaw Method,,Loading...,
Kahoot!,Recall (Interactive games),,A popular game-based tool for quick recall and formative assessment. It fosters a fun environment for communication and checks for understanding across any subject matter.  There are team modes too!,Website,,Loading...,,
Khanmigo,"AI (Artificial intelligence), Communication, Recall (Interactive games)",,An AI tutor from Khan Academy that guides students through critical thinking and problem-solving without giving the answers. It supports writing and math by acting as a personal coach.  You can even create a Blooket set from Khanmigo!,App - Web-based,"Video: Khanmigo for Teachers
Khanmigo Blooket Maker
Create Blooket Sets in Seconds with Khanmigo",Loading...,Loading...,
Learning Stations,"Communication, Critical Thinking, Time Management, Collaboration (WICOR)","Writing, Performance","Set up designated areas where students engage in diverse tasks to reinforce, explore, or apply concepts. They promote active learning, collaboration, and differentiation by allowing students to interact with content in multiple ways.
- Identify Objectives: Define the skills or concepts each station will target.
- Plan Activities: Design varied tasks for skill reinforcement, collaboration, and application.
- Organize Materials: Prepare labeled resources and tools for each station.
- Provide Clear Instructions: Use written or visual directions for independent work.
- Group Strategically: Form groups based on skill level or collaboration needs.
- Set Time Limits: Establish a rotation schedule with clear timing.
- Differentiate Tasks: Adjust task complexity or offer choices for diverse learners.
- Facilitate and Monitor: Circulate to support and assess understanding.
- Debrief: Conclude with reflection or an exit ticket for assessment.",Strategy,,,,
Lucid Chart,"Collaboration (WICOR), Communication, Creativity/Design, Data Analysis, Organization (WICOR)",Visual,"A professional diagramming tool used for planning and organization of complex systems. It builds critical thinking skills as students map out processes or logical structures. Mind maps, tree structures, classification, food webs, etc...",App - Web-based,,Loading...,,
Lucid Whiteboard,"Collaboration (WICOR), Communication, Organization (WICOR), Planning",Visual,A collaborative workspace designed for brainstorming and creativity/design. It facilitates real-time collaboration and visual communication during the early stages of a project.,App - Web-based,,Loading...,,
LucidChart and Lucid (Whiteboard),"Organization (WICOR), Critical Thinking, Creativity/Design",Visual,"Use Lucid to:
- Brainstorm, take notes and whiteboard in a digital space
- Collaborate with groups in real-time, communicate thinking
- Easily create diagrams, graphic organizer and other visuals
- Leverage pre-built, customizable templates, assignments, quizzes",App - Web-based,"Video Tutorial
Using Lucid in Canvas",Loading...,Loading...,
MagicSchool AI,"AI (Artificial intelligence), Communication, Critical Thinking, Research, Problem-Solving",,"A comprehensive AI suite that assists educators with planning, writing feedback, and much more. Students can access AI chatbots to learn, brainstorm, or get feedback on almost anything in a controlled environment.  Teachers can view all prompts and responses.",App - Web-based,MagicSchool AI YouTube Channel,[MagicSchool AI](https://www.magicschool.ai/),,
MagicStudent AI,"AI (Artificial intelligence), Critical Thinking, Recall (Interactive games), Research, Inquiry (WICOR), Creativity/Design","Visual, Writing","Launch to your students tools that include image generators, custom chatbots, writing feedback, research assistant, song generator, tutor me, character chatbots, and many more. Pick the tools, customize them for your content, and send them to your students.  They can use them for notes, revisions, or to answer their questions.",App - Web-based,"Video: MagicStudent Walkthrough
MagicStudent Presentation Slides
Video: Setting Up Student Rooms
MagicSchool AI YouTube Channel",Loading...,"Video: MagicStudent Walkthrough
MagicStudent Presentation Slides
[Video: Setting Up Student Rooms
](https://youtu.be/dgReVT3ddSs)
[MagicSchool AI YouTube Channel](https://www.youtube.com/@magicschoolai)",
Microsoft Copilot AI,,,,,,,,
